Match Number,Name,Role,Captain,Wicketkeeper,Out String,Out Name,Batting Runs,Balls,4s,6s,Strike Rate,Overs,Maidens,Bowling Runs,Wickets,LBW/Bowled,No Balls,Wides,Economy,Catches,Run Outs,Stumpings
25,Ishan Kishan,WK-Batter,0,1,c Kohli b Akash Deep,Virat Kohli,69,34,7,5,202.94,0.0,0,0,0,0,0,0,0.0,2,0.0,0
25,Faf du Plessis,Batter,1,0,c Tim David b Bumrah,Tim David,61,40,4,3,152.50,0.0,0,0,0,0,0,0,0.0,0,0.0,0
25,Tim David,Batter,0,0,did not bat,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,0.0,0
25,Will Jacks,Allrounder,0,0,c Tim David b Akash Madhwal,Tim David,8,6,2,0,133.33,2,0,24,1,0,0,0,12.00,0,0.0,0
25,Rajat Patidar,Batter,0,0,c Ishan Kishan b Gerald Coetzee,Ishan Kishan,50,26,3,4,192.31,0.0,0,0,0,0,0,0,0.0,0,0.0,0
25,Glenn Maxwell,Allrounder,0,0,lbw b Shreyas Gopal,Shreyas Gopal,0,4,0,0,0.00,1,0,17,0,0,0,0,17.00,0,0.0,0
25,Shreyas Gopal,Allrounder,0,0,did not bat,,0,0,0,0,0.0,4,0,32,1,1,0,0,8.00,0,0.0,0
25,Dinesh Karthik,WK-Batter,0,1,not out,,53,23,5,4,230.43,0.0,0,0,0,0,0,0,0.0,0,0.0,0
25,Mahipal Lomror,Allrounder,0,0,lbw b Bumrah,Jasprit Bumrah,0,1,0,0,0.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
25,Jasprit Bumrah,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,21,5,1,0,0,5.20,0,0.0,0
25,Saurav Chauhan,Allrounder,0,0,c Akash Madhwal b Bumrah,Akash Madhwal,9,8,1,0,112.50,0.0,0,0,0,0,0,0,0.0,0,0.0,0
25,Akash Madhwal,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,57,1,0,0,3,14.20,1,0.0,0
25,Vijaykumar Vyshak,Bowler,0,0,c Nabi b Bumrah,Mohammad Nabi,0,1,0,0,0.00,3,0,32,1,0,0,0,10.70,0,0.0,0
25,Mohammad Nabi,Allrounder,0,0,did not bat,,0,0,0,0,0.0,1,0,7,0,0,0,0,7.00,1,0.0,0
25,Akash Deep,Bowler,0,0,not out,,2,2,0,0,100.00,3.3,0,55,1,0,0,2,15.70,0,0.0,0
25,Reece Topley,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,34,0,0,0,1,11.30,1,0.0,0
25,Mohammed Siraj,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,37,0,0,0,0,12.30,0,0.0,0
25,Gerald Coetzee,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,42,1,0,0,3,10.50,0,0.0,0
25,Romario Shepherd,Bowler,0,0,did not bat,,0,0,0,0,0.0,2,0,22,0,0,0,0,11.00,0,0.0,0
25,Hardik Pandya,Allrounder,1,0,not out,,21,6,0,3,350.00,1,0,13,0,0,0,2,13.00,0,0.0,0
25,Rohit Sharma,Batter,0,0,c R Topley b Will Jacks,Reece Topley,38,24,3,3,158.33,0.0,0,0,0,0,0,0,0.0,0,0.0,0
25,Suryakumar Yadav,Batter,0,0,c Lomror b Vijaykumar Vyshak,Mahipal Lomror,52,19,5,4,273.68,0.0,0,0,0,0,0,0,0.0,0,0.0,0
25,Tilak Varma,Batter,0,0,not out,,16,10,3,0,160.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
26,Quinton de Kock,WK-Batter,0,0,lbw b Khaleel Ahmed,Khaleel Ahmed,19,13,4,0,146.15,0.0,0,0,0,0,0,0,0.0,0,0.0,0
26,Khaleel Ahmed,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,41,2,2,0,1,10.20,0,0.0,0
26,KL Rahul,WK-Batter,0,0,c Pant b Kuldeep Yadav,Rishabh Pant,39,22,5,1,177.27,0.0,0,0,0,0,0,0,0.0,0,0.0,1
26,Rishabh Pant,WK-Batter,0,0,st Rahul b Ravi Bishnoi,KL Rahul,41,24,4,2,170.83,0.0,0,0,0,0,0,0,0.0,2,0.0,0
